time,M1,M2
0,0.5039575000512191,0.4343269956277392
1,0.5355003521734236,0.5113881626132797
2,0.622627542359716,0.3857806052875278
3,0.565561154269044,0.3817677330093641
4,0.6038830646126614,0.44362813964749515
5,0.6983268629596256,0.3126798868496446
6,0.7158412470662096,0.23423188418792695
7,0.6944086109366588,0.4081072094923809
8,0.6897521632201551,0.26575090829075176
9,0.7245988223763711,0.2431242473636677
10,0.7519480664833712,0.21507980233544916
11,0.8400206889190773,0.162990140297585
12,0.8439957795331218,0.12316175237762897
13,0.7592507364809913,0.20375519008319443
14,0.8056458685002481,0.17284198261960781
15,0.8794281649107996,0.14080341596564086
16,0.792590266444516,0.1896075896339352
17,0.7929625936958917,0.17728610593110133
18,0.7551480192875623,0.2610683353701425
19,0.7030717736264638,0.4009585262099376
20,0.7771789416171325,0.3143191268893311
21,0.7116965082299598,0.3165924061546985
22,0.839396833015945,0.1320252533806899
23,0.7697071931384586,0.2140747670365475
24,0.5926838220253772,0.3509541858361691
25,0.6926461508772931,0.3777954624878446
26,0.6835445401662884,0.3275331269470625
27,0.5577903330037308,0.40441609109531773
28,0.45199107357855195,0.5444941092006194
29,0.5847896532614938,0.4231280103229598
30,0.5239944050122557,0.40631336053403067
31,0.4739625110132317,0.550560559967216
32,0.4590511535343897,0.4729556231333366
33,0.37268430455815615,0.6213182021788505
34,0.42697584158322227,0.5016535114168726
35,0.3673182612669379,0.6009114951696253
36,0.297533145604512,0.7173414374466599
37,0.25037250055249327,0.7074563391192017
38,0.2591371756417479,0.7245082602370968
39,0.26160801288851776,0.8783737895611372
40,0.24002204797803775,0.7560430174102559
41,0.17573195801361718,0.8382880093938839
42,0.31367683356794973,0.6892604780985503
43,0.18460931569490333,0.788514277633529
44,0.16689421765695392,0.8493244354360042
45,0.17553405565935049,0.8012350993471797
46,0.2747775214352419,0.8355696003519864
47,0.23363111447000745,0.8421427835295324
48,0.24657997852719168,0.8711245200549166
49,0.29165444120208217,0.6852318146203591
50,0.23085691012832582,0.7668323365276476
51,0.23580619741673697,0.8353940965498288
52,0.20605208803275826,0.7608393877660219
53,0.2553092668282352,0.768330804210576
54,0.4249248259883757,0.5671225623653675
55,0.42709638203466344,0.5789239425658917
56,0.40316196329280746,0.6305332136493141
57,0.43267083823425284,0.5082845434403613
58,0.4159023892576145,0.4924816167407591
59,0.4363443860326726,0.5743488168535535
60,0.48881463926450375,0.47204957888796506
61,0.5755894024926037,0.3485573929433331
62,0.49173496338978423,0.49306404506241064
63,0.5828457806501626,0.42762671653704376
64,0.6326814026244134,0.35563845801482397
65,0.5873264942474125,0.42166190388482894
66,0.7267405558124241,0.2175186538326557
67,0.744104123095749,0.2602791655261335
68,0.8196608116103182,0.13509580625435497
69,0.7603689706667455,0.28729761331973414
70,0.7527798759075366,0.27758004647668966
71,0.7749721205356203,0.3025709238553885
72,0.7283241894658723,0.28798693300751915
73,0.8822329948094534,0.13886789611897885
74,0.8454075919346343,0.14020702774337881
75,0.816953157057412,0.2186046418301104
76,0.8015003209333701,0.1291281442998487
77,0.7969857727483493,0.20861550923458141
78,0.7665607082001422,0.22996660204464087
